sourceId,sourceProductId,legacyUrl,sourceFile,sourcePageType,sourceType,displayedName,pageTitle,heading,detectedCategory,detectedCollection,imageReferenceCount,descriptionFound,specificationFound,sourceStatus,price,handle
SRC-0179,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,交織之緣｜Entwined Destiny,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,28000.0,
SRC-0189,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,交織之緣｜Entwined Destiny,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,28000.0,
SRC-0243,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,window.c12t,交織之緣｜Entwined Destiny,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,有效,28000.0,
SRC-0253,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,交織之緣｜Entwined Destiny,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,28000.0,
SRC-0356,57337039,https://www.dsdiamond.com.tw/products/女戒23,../dsdiamond_backup/site/www.dsdiamond.com.tw/index.html,HTML,products-json,交織之緣｜Entwined Destiny,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,28000,女戒23
SRC-0405,57337039,https://www.dsdiamond.com.tw/products/女戒23,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/logout.html,HTML,products-json,交織之緣｜Entwined Destiny,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,28000,女戒23
SRC-0434,57337039,https://www.dsdiamond.com.tw/products/女戒23,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/cart.html,HTML,products-json,交織之緣｜Entwined Destiny,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,28000,女戒23
SRC-0522,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,window.c12t,交織之緣｜Entwined Destiny,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,有效,28000.0,
SRC-0532,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,交織之緣｜Entwined Destiny,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,列表重複,28000.0,
SRC-0587,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,交織之緣｜Entwined Destiny,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,28000.0,
SRC-0597,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,交織之緣｜Entwined Destiny,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,28000.0,
SRC-0624,57337039,https://www.dsdiamond.com.tw/products/女戒23,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW.html,首頁產品卡片,products-json,交織之緣｜Entwined Destiny,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,28000,女戒23
